,Atomic Number,Symbol,Name,Atomic Mass [kg],Electron Configuration,Electronegativity [Pauling],Atomic Radius [m],Ionization Energy [eV],Electron Affinity [eV],Oxidation States,Standard State,Melting Point [K],Boiling Point [K],Density [kg/m^3],Group Block,Vapor Ref Temperatures [K],Vapor Ref Pressures [Pa],Molar Mass [kg/mol],R_sp [J/kg/K],Heat Capacity [J/kg/K],Heat of Vaporization [J/kg],Heat of Fusion [J/kg],Clausius Constant,Clausius Errors,T(1 Torr) [K]
60,57,La,Lanthanum,2.3065258274999996e-25,[Xe]6s2 5d1,1.1,2.4e-10,5.577,0.5,+3,Solid,1191.0,3737.0,6150.0,Lanthanide,"[-2005.0, -2208.0, -2458.0, -2772.0, -3178.0, -3726.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.13890129185787747,59.85625582594956,195.0,2879742.835000241,44636.01394250374,-14.965413852609732,"[8349.569022007576, 90.9635186107269, 0.0026395866878896612, -0.989079543438799, -0.9998810723856412, -0.99999871674106]",
61,58,Ce,Cerium,2.32662618e-25,[Xe]6s2 4f1 5d1,1.12,2.35e-10,5.539,0.5,"+4, +3",Solid,1071.0,3697.0,6770.0,Lanthanide,"[1992.0, 2194.0, 2442.0, 2754.0, 3159.0, 3705.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.14011175518578,59.33914145159322,192.0,2840589.6384088206,38968.893029427534,24.20294717262592,"[0.18721675581152852, 0.08499389940523217, -0.005166316082850564, -0.0832775594580748, -0.14875545444707128, -0.20583941271340167]",2479.025076472522
62,59,Pr,Praseodymium,2.3397716942999995e-25,[Xe]6s2 4f3,1.13,2.39e-10,5.464,,+3,Solid,1204.0,3793.0,6770.0,Lanthanide,"[1771.0, 1973.0, -2227.0, -2571.0, -3054.0, -3779.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.14090339120244028,59.005756987458575,193.0,2349127.2791613797,48898.752125141706,3.8572443833063756,"[-0.9999999918285178, -0.9999999918370812, 27479840.220533017, 251310.6317477087, 2169.835314574048, 16.80245955890827]",
63,60,Nd,Neodymium,2.3951052e-25,[Xe]6s2 4f4,1.14,2.2899999999999998e-10,5.525,,+3,Solid,1294.0,3347.0,7010.0,Lanthanide,"[1595.0, 1774.0, 1998.0, -2296.0, -2715.0, -3336.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.1442356302492,57.642562005209626,190.0,2003665.8036622885,49502.33161989183,10.773665839034923,"[-0.9999836216491443, -0.999985233626084, -0.9999867165491884, 179441815.8595896, 1734687.096898051, 16000.831405505429]",5910.691882994791
64,61,Pm,Promethium,2.4062763797999996e-25,[Xe]6s2 4f5,,2.36e-10,5.55,,+3,Solid,1315.0,3273.0,7260.0,Lanthanide,,,0.14490836986793576,57.374955412010905,,1994363.750440255,49203.50706103467,,,
65,62,Sm,Samarium,2.4973919999999997e-25,[Xe]6s2 4f6,1.17,2.2899999999999998e-10,5.644,,"+3, +2",Solid,1347.0,2067.0,7520.0,Lanthanide,"[1001.0, 1106.0, 1240.0, -1421.0, -1675.0, -2061.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.15039544363199997,55.281669837974974,197.0,1276634.420320615,57315.56616231094,11.112239078584949,"[-0.9999935919707437, -0.9999942730944567, -0.9999945316540929, 765396047.1567129, 6510483.3576131845, 49226.0549916984]",3713.0593583272544
66,63,Eu,Europium,2.5233622199999997e-25,[Xe]6s2 4f7,,2.3299999999999997e-10,5.67,,"+3, +2",Solid,1095.0,1802.0,5240.0,Lanthanide,"[863.0, 957.0, 1072.0, 1234.0, 1452.0, 1796.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.15195939625062,54.71271579868546,182.0,1158204.1278298507,60608.295552914344,24.23119151305034,"[-0.2578162995614064, -0.17418305170824255, -0.11398438204958072, 0.18387571982778583, 0.5554544760065314, 1.5386003856794517]",1094.6511862326952
67,64,Gd,Gadolinium,2.61113625e-25,[Xe]6s2 4f7 5d1,1.2,2.37e-10,6.15,,+3,Solid,1586.0,3546.0,7900.0,Lanthanide,"[-1836.0, -2028.0, -2267.0, -2573.0, -2976.0, -3535.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.15724523611125,52.8735335048104,236.0,1916115.2824167735,63912.906034811065,-11.365932882119745,"[4325.036281757897, 65.75994882859126, 0.014708513223024688, -0.9848403915304296, -0.9997749056684284, -0.9999967184862313]",
68,65,Tb,Terbium,2.63895543675e-25,[Xe]6s2 4f9,,2.2099999999999999e-10,5.864,,+3,Solid,1629.0,3503.0,8230.0,Lanthanide,"[1789.0, 1979.0, -2201.0, -2505.0, -2913.0, -3491.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.15892053535652176,52.31615436827061,182.0,2460349.124314438,63868.3979841216,3.3584260695240866,"[-0.9999999998898472, -0.9999999998625715, 547090426.7961602, 4091876.120815396, 29507.425411737215, 202.74093648465]",
69,66,Dy,Dysprosium,2.6983124999999998e-25,[Xe]6s2 4f10,1.22,2.2899999999999998e-10,5.939,,+3,Solid,1685.0,2840.0,8550.0,Lanthanide,"[1378.0, 1523.0, -1704.0, -1954.0, -2304.0, -2831.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.1624950770625,51.16531165311653,170.0,1723129.1252737732,68063.60044831404,3.5923829785144816,"[-0.9999999991165217, -0.9999999990948575, 139156675.2826699, 1110009.2313639396, 8094.732420059619, 52.27649093224163]",
70,67,Ho,Holmium,2.7386681296499995e-25,[Xe]6s2 4f11,1.23,2.16e-10,6.022,,+3,Solid,1747.0,2973.0,8800.0,Lanthanide,"[1432.0, 1584.0, -1775.0, -2040.0, -2410.0, -2964.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.16492533343565263,50.41136547554011,165.0,1521900.8188207198,103076.94788825593,3.766641152030315,"[-0.9999999698025247, -0.9999999771669809, 10529769.627261946, 115580.07209921362, 1190.6820390017353, 10.463329876194843]",
71,68,Er,Erbium,2.7773522999999995e-25,[Xe]6s2 4f12,1.24,2.35e-10,6.108,,+3,Solid,1802.0,3141.0,9070.0,Lanthanide,"[1504.0, 1663.0, -1885.0, -2163.0, -2552.0, -3132.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.16725493285829998,49.70921405973596,168.0,1674091.1327094834,118980.048360424,3.807293134103414,"[-0.9999999915134481, -0.9999999927803118, 25861540.94409086, 260258.03876112268, 2423.8788602774307, 20.055038431961165]",
72,69,Tm,Thulium,2.8051527231e-25,[Xe]6s2 4f13,1.25,2.27e-10,6.184,,+3,Solid,1818.0,2223.0,9320.0,Lanthanide,"[1117.0, 1235.0, 1381.0, 1570.0, -1821.0, -2217.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.1689291021378051,49.216571655117804,160.0,1130651.8390430466,99686.79041615134,16.16921571675457,"[-0.9876915885841046, -0.9912173861910881, -0.9937238261598574, -0.9953506026267595, 317017018.8938905, 3330013.4262716193]",2037.25407860573
73,70,Yb,Ytterbium,2.87349525e-25,[Xe]6s2 4f14,,2.42e-10,6.254,,"+3, +2",Solid,1092.0,1469.0,6900.0,Lanthanide,"[736.0, 813.0, 910.0, 1047.0, -1266.0, -1465.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.17304475745025,48.046016432426676,155.0,745471.8761825953,44266.00443068744,16.56110838597385,"[-0.9891123625979132, -0.9919821791626703, -0.9938688926857296, -0.99429224818935, 327345220.3841797, 6194456.504293634]",1329.7339615621784
74,71,Lu,Lutetium,2.9053220534999995e-25,[Xe]6s2 4f14 5d1,1.27,2.2099999999999999e-10,5.426,,+3,Solid,1936.0,3675.0,9840.0,Lanthanide,"[1906.0, 2103.0, 2346.0, -2653.0, -3072.0, -3663.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.17496139938382346,47.519688852972806,154.0,2366236.2181487987,125742.02125428399,11.815216801599274,"[-0.999999390180514, -0.9999992952201124, -0.9999991811652843, 19172182241.13, 148209964.0562274, 1084143.2309667969]",7193.242639891772
75,72,Hf,Hafnium,2.96382645e-25,[Xe]6s2 4f14 5d2,1.3,2.12e-10,6.825,,+4,Solid,2506.0,4876.0,13300.0,Transition metal,"[2689.0, 2954.0, 3277.0, 3679.0, 4194.0, 4876.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.17848459264545,46.581674848066754,144.0,3630565.475683478,152394.1063867139,28.389515032125892,"[-0.44852332637605075, -0.2573710755728922, 0.0004634462283019669, 0.3454317775399913, 0.8140033539359701, 1.440544802564062]",3317.045424244493
76,73,Ta,Tantalum,3.0046398795e-25,[Xe]6s2 4f14 5d3,1.5,2.17e-10,7.89,0.322,+5,Solid,3290.0,5731.0,16400.0,Transition metal,"[3297.0, 3597.0, 3957.0, 4395.0, 4939.0, 5634.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.18094241818336948,45.94893416078018,140.0,4049907.1879174877,202108.49599091502,26.887379391361748,"[0.16671926393514291, 0.08462465934625873, 0.007965700807589071, -0.07209468832258825, -0.1551011045188334, -0.23641086649223242]",4007.313512884979
77,74,W,Tungsten,3.0526632e-25,[Xe]6s2 4f14 5d4,2.36,2.1e-10,7.98,0.815,+6,Solid,3695.0,5828.0,19300.0,Transition metal,"[3477.0, 3773.0, 4137.0, 4579.0, 5127.0, 5823.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.18383443056719997,45.226083244296326,132.0,4388187.770435712,284549.5255627769,28.04321787638682,"[0.1475244640008362, 0.024574436283381074, -0.015495271772002495, -0.052828529932349655, -0.08788811047041056, -0.12415254967676281]",4191.184468306596
78,75,Re,Rhenium,3.0919672349999994e-25,[Xe]6s2 4f14 5d5,1.9,2.17e-10,7.88,0.15,"+7, +6, +4",Solid,3459.0,5869.0,20800.0,Transition metal,"[3303.0, 3614.0, 4009.0, 4500.0, 5127.0, 5954.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.18620135885893496,44.65118466884401,137.0,3780853.1812775126,324541.1331599433,25.7090296900937,"[0.07589008444921319, -0.023089916861417037, -0.017295300379481127, -0.015343594824525852, -0.01673685865353869, -0.025158736763048473]",4067.7483039935705
79,76,Os,Osmium,3.1582709999999995e-25,[Xe]6s2 4f14 5d6,2.2,2.16e-10,8.7,1.1,"+4, +3",Solid,3306.0,5285.0,22570.0,Transition metal,"[3160.0, 3423.0, 3751.0, 4148.0, 4638.0, 5256.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.19019423789099996,43.71379150174257,130.0,3564776.764628174,304162.73721790535,26.327674639265382,"[0.6842375740235196, 0.22325202643343434, -0.017700347550289597, -0.21313644279705413, -0.37203233480579867, -0.5036585048309019]",3804.4532393336754
80,77,Ir,Iridium,3.1918130999999998e-25,[Xe]6s2 4f14 5d7,2.2,2.02e-10,9.1,1.565,"+4, +3",Solid,2719.0,4701.0,22420.0,Transition metal,"[2713.0, 2957.0, 3252.0, 3614.0, 4069.0, 4659.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.1922141766951,43.25441235891913,131.0,2934226.859315615,213928.02917563493,25.45459758530479,"[0.5688893967243571, 0.23495370726978715, -0.010442335167524797, -0.20038641112685174, -0.3477175093328003, -0.4613212351113253]",3299.1457391285035
81,78,Pt,Platinum,3.2393034e-25,[Xe]6s1 4f14 5d9,2.28,2.09e-10,9.0,2.128,"+4, +2",Solid,2041.55,4098.0,21460.0,Transition metal,"[2330.0, -2550.0, 2815.0, 3143.0, 3556.0, 4094.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.1950740900514,42.62027447012218,133.0,2614391.280080406,113649.12682231882,16.7710245937786,"[-0.9999292102652538, 5.379339377764414e+16, -0.9999339490795275, -0.9999358053970874, -0.9999380668200215, -0.9999402396062068]",5164.182887393466
82,79,Au,Gold,3.2706298948499997e-25,[Xe]6s1 4f14 5d10,2.54,1.66e-10,9.226,2.309,"+3, +1",Solid,1337.33,3129.0,19282.0,Transition metal,"[1646.0, 1814.0, 2021.0, 2281.0, 2620.0, 3078.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.19696060289776182,42.21205224638595,129.0,1736387.8611679776,63718.32648438046,24.956156020959746,"[-0.03406655053209018, -0.022513413441127894, -0.002738133479098237, 0.014803087369647638, 0.04652834429083419, 0.08228094440616096]",2050.246058115115
83,80,Hg,Mercury,3.33079695e-25,[Xe]6s2 4f14 5d10,2.0,2.09e-10,10.438,,"+2, +1",Liquid,234.32,629.88,13533.6,Transition metal,"[315.0, 350.0, 393.0, 449.0, 523.0, 629.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.20058392312595,41.44953957640678,140.0,294689.619580747,11416.667718489436,22.685581874571955,"[0.1223505727118468, 0.07235352062663902, -0.01012033739436935, -0.054905536463887517, -0.11187138116416395, -0.12222345547951174]",399.5769922155454
84,81,Tl,Thallium,3.393779715e-25,[Xe]6s2 4f14 5d10 6p1,1.62,1.96e-10,6.108,0.2,"+3, +1",Solid,577.0,1746.0,11800.0,Post-transition metal,"[882.0, 977.0, 1097.0, 1252.0, 1461.0, 1758.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.204376808217015,40.68030679475023,129.0,807332.3066323493,20256.701511866217,22.67312329057146,"[0.1879653668874659, 0.05925149162343968, -0.022739015101886362, -0.08230644609938775, -0.11388743654125377, -0.12070971734112734]",1116.1630958545047
85,82,Pb,Lead,3.437235e-25,[Xe]6s2 4f14 5d10 6p2,2.33,2.02e-10,7.417,0.36,"+4, +2",Solid,600.61,2022.0,11342.0,Post-transition metal,"[978.0, 1088.0, 1229.0, 1412.0, 1660.0, 2027.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.20699372893499998,40.16600552478955,129.0,867176.0295519216,23044.176384193128,22.16159456724273,"[0.08995276030996924, 0.015563081032701653, -0.010485342786276886, -0.035733337591233094, -0.05318302366162675, -0.0024379784740883315]",1250.218077688432
86,83,Bi,Bismuth,3.4701195419999997e-25,[Xe]6s2 4f14 5d10 6p3,2.02,2.0699999999999998e-10,7.289,0.946,"+5, +3",Solid,544.55,1837.0,9807.0,Post-transition metal,"[941.0, 1041.0, 1165.0, 1325.0, 1538.0, 1835.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.20897406893878198,39.78537290402084,122.0,856565.6060055817,54073.69468079929,23.062958749220158,"[0.20129919015563358, 0.08183908369752557, -0.022353826722769088, -0.08935083155379608, -0.1357222185121304, -0.16702546054106426]",1184.8890736347807
87,84,Po,Polonium,3.4701532501499998e-25,[Xe]6s2 4f14 5d10 6p4,2.0,1.97e-10,8.417,1.9,"+4, +2",Solid,527.0,1235.0,9320.0,Metalloid,"[-846.0, 1003.0, 1236.0]","[1000.0, 10000.0, 100000.0]",0.20897609887728313,39.78498643944104,,492448.6606500955,62208.07101789176,6.913956546956423,"[2274139.55958334, -0.9999995602734423, -0.9999995496904804]",6123.994013316349
88,85,At,Astatine,3.48683662575e-25,[Xe]6s2 4f14 5d10 6p5,2.2,2.02e-10,9.5,2.8,"7, 5, 3, 1, -1",Solid,575.0,,7000.0,Halogen,"[361.0, 392.0, 429.0, 475.0, 531.0, 607.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.20998078843929074,39.59462826002179,,190493.61752237027,28574.04262835554,15.805990388558413,"[10.927545406552992, 2.4219048031484, -0.01376371515717767, -0.7078217541959466, -0.9149739225395731, -0.973562204160751]",440.85028349076896
89,86,Rn,Radon,3.6866019158999997e-25,[Xe]6s2 4f14 5d10 6p6,,2.2e-10,10.745,,0,Gas,202.0,211.45,9.73,Noble gas,"[110.0, 121.0, 134.0, 152.0, 176.0, 211.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.22201085397741388,37.44912066707256,94.0,81527.54550388509,14625.411063597508,20.74945052437655,"[1.607377296210637, 0.5760964374299824, -0.09710561616638758, -0.38172098380983666, -0.5640949762755381, -0.6607822239173589]",137.29363116547717
90,87,Fr,Francium,3.70324261665e-25,[Rn]7s1,0.7,3.48e-10,3.9,0.47,+1,Solid,300.0,,,Alkali metal,"[-404.0, -454.0, -519.0, -608.0, -738.0, -946.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.22301297361727965,37.2808412225745,,291462.8640015749,8968.088123125382,-10.41237045145009,"[7624.075573015993, 89.50295188205129, 0.047187127144586505, -0.988455175874106, -0.99988013800913, -0.9999988329016544]",
91,88,Ra,Radium,3.7531519330499994e-25,[Rn]7s2,0.9,2.83e-10,5.279,,+2,Solid,973.0,1413.0,5000.0,Alkaline earth metal,"[819.0, 906.0, 1037.0, 1209.0, 1446.0, 1799.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.226018562560204,36.78508156950777,,499958.9357617495,37607.530566149304,17.67397924281249,"[1.9415119596001205, 0.44759500525390883, -0.03690587218912933, -0.37848040575284714, -0.6076634708202777, -0.7518926286581977]",1063.3851065950116
92,89,Ac,Actinium,3.7697957887499995e-25,[Rn]7s2 6d1,1.1,2.6e-10,5.17,,+3,Solid,1324.0,3471.0,10070.0,Actinide,,,0.22702087219431372,36.62267341164874,120.0,1761952.5294468452,61668.33853063958,,,
93,90,Th,Thorium,3.8529909899999997e-25,[Rn]7s2 6d2,1.3,2.37e-10,6.08,,+4,Solid,2023.0,5061.0,11720.0,Actinide,"[2633.0, 2907.0, 3248.0, 3683.0, 4259.0, 5055.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.23203097040878998,35.8319031522054,113.0,2215221.5244992496,59517.916835281394,23.621662136908142,"[0.15229100137097684, 0.053662020433726365, -0.017407416446429957, -0.06949640964192949, -0.09916558668318143, -0.11419109712654607]",3300.921032572427
94,91,Pa,Protactinium,3.8363507873999995e-25,[Rn]7s2 5f2 6d1,1.5,2.43e-10,5.89,,"+5, +4",Solid,1845.0,,15370.0,Actinide,,,0.23102888076801537,35.987324322228375,,2081990.7814165878,53413.23543176859,,,
95,92,U,Uranium,3.9524698844999996e-25,[Rn]7s2 5f3 6d1,1.38,2.4e-10,6.194,,"+6, +5, +4, +3",Solid,1408.0,4404.0,18950.0,Actinide,"[2325.0, 2564.0, 2859.0, 3234.0, 3727.0, 4402.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.23802168891447448,34.930057415849234,116.0,1752361.3159045838,38399.861969234946,22.13801234874372,"[0.7515457209890366, 0.30896150336378825, -0.014349897693765379, -0.24597815183277205, -0.41312589632221286, -0.5376750331861425]",2909.0754602984043
96,93,Np,Neptunium,3.9361848960599997e-25,[Rn]7s2 5f4 6d1,1.36,2.2099999999999999e-10,6.266,,"+6, +5, +4, +3",Solid,917.0,4175.0,20250.0,Actinide,"[2194.0, 2437.0]","[1.0, 10.0]",0.23704099062562925,35.074571862260285,,1417476.3576256803,13499.77483453029,18.652825027143187,"[0.2623107132656741, -0.20780201776712792]",2936.994871101238
97,94,Pu,Plutonium,4.0526860409999997e-25,[Rn]7s2 5f6,1.28,2.43e-10,6.06,,"+6, +5, +4, +3",Solid,913.0,3501.0,19840.0,Actinide,"[1756.0, 1953.0, 2198.0, 2511.0, 2926.0, 3499.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.24405680607506097,34.06629544042689,,1366485.1448454598,11554.68698190164,22.86823550431834,"[0.02542959129159783, 0.027083116926179374, 0.013600326263721874, -0.014140277634651977, -0.04981822034409744, -0.10298882814948973]",2231.5149153327548
98,95,Am,Americium,4.0360342149e-25,[Rn]7s2 5f7,1.3,2.44e-10,5.993,,"+6, +5, +4, +3",Solid,1449.0,2284.0,13690.0,Actinide,"[1239.0, 1356.0]","[1.0, 10.0]",0.2430540164554929,34.20684579192069,,,59204.94633189919,,"[nan, nan]",
99,96,Cm,Curium,4.1026031617499996e-25,[Rn]7s2 5f7 6d1,1.3,2.45e-10,6.02,,+3,Solid,1618.0,3400.0,13510.0,Actinide,"[1788.0, 1982.0]","[1.0, 10.0]",0.24706286500374672,33.651804612052544,,,,,"[nan, nan]",
100,97,Bk,Berkelium,4.1026024975499996e-25,[Rn]7s2 5f9,1.3,2.44e-10,6.23,,"+4, +3",Solid,1323.0,,14000.0,Actinide,,,0.24706282500495852,33.65181006018666,,,,,,
101,98,Cf,Californium,4.16917659195e-25,[Rn]7s2 5f10,1.3,2.45e-10,6.3,,+3,Solid,1173.0,,,Actinide,,,0.25107198354382093,33.114452447653896,,,,,,
102,99,Es,Einsteinium,4.1858382149999995e-25,[Rn]7s2 5f11,1.3,2.45e-10,6.42,,+3,Solid,1133.0,,,Actinide,,,0.252075363145515,32.98264120798085,,,,,,
103,100,Fm,Fermium,4.269064301549999e-25,[Rn] 5f12 7s2,1.3,,6.5,,+3,Solid,1800.0,,,Actinide,,,0.2570873213036425,32.33963937949437,,,,,,
104,101,Md,Mendelevium,4.28572443015e-25,[Rn]7s2 5f13,1.3,,6.58,,"+3, +2",Solid,1100.0,,,Actinide,,,0.2580906109080631,32.213923748515,,,,,,
105,102,No,Nobelium,4.302372105e-25,[Rn]7s2 5f14,1.3,,6.65,,"+3, +2",Solid,1100.0,,,Actinide,,,0.259093150535205,32.08927462121503,,,,,,
106,103,Lr,Lawrencium,4.418922599999999e-25,[Rn]7s2 5f14 6d1,1.3,,,,+3,Solid,1900.0,,,Actinide,,,0.26611193789459997,31.242909753612793,,,,,,
107,104,Rf,Rutherfordium,4.43556081e-25,[Rn]7s2 5f14 6d2,,,,,+4,Solid,,,,Transition metal,,,0.26711390753901,31.125714630885646,,,,,,
108,105,Db,Dubnium,4.452232229999999e-25,[Rn]7s2 5f14 6d3,,,,,"5, 4, 3",Solid,,,,Transition metal,,,0.26811787712283,31.009164137873377,,,,,,
109,106,Sg,Seaborgium,4.46887044e-25,[Rn]7s2 5f14 6d4,,,,,"6, 5, 4, 3, 0",Solid,,,,Transition metal,,,0.26911984676724,30.893712819295786,,,,,,
110,107,Bh,Bohrium,4.485558464999999e-25,[Rn]7s2 5f14 6d5,,,,,"7, 5, 4, 3",Solid,,,,Transition metal,,,0.27012481632076496,30.778776171854002,,,,,,
111,108,Hs,Hassium,4.468963428e-25,[Rn]7s2 5f14 6d6,,,,,"8, 6, 5, 4, 3, 2",Solid,,,,Transition metal,,,0.26912544659758797,30.893069998065776,,,,,,
112,109,Mt,Meitnerium,4.602142169999999e-25,[Rn]7s2 5f14 6d7 (calculated),,,,,"9, 8, 6, 4, 3, 1",Solid,,,,Transition metal,,,0.27714560361956997,29.99907323593178,,,,,,
113,110,Ds,Darmstadtium,4.68536643e-25,[Rn]7s2 5f14 6d8 (predicted),,,,,"8, 6, 4, 2, 0",Expected to be a Solid,,,,Transition metal,,,0.28215745178102997,29.466211888148948,,,,,,
114,111,Rg,Roentgenium,4.685416244999999e-25,[Rn]7s2 5f14 6d9 (predicted),,,,,"5, 3, 1, -1",Expected to be a Solid,,,,Transition metal,,,0.2821604516901449,29.465898605557086,,,,,,
115,112,Cn,Copernicium,4.752002294999999e-25,[Rn]7s2 5f14 6d10 (predicted),,,,,"2, 1, 0",Expected to be a Solid,,,,Transition metal,,,0.2861703302071949,29.053016271744042,,,,,,
116,113,Nh,Nihonium,4.75205211e-25,[Rn]5f14 6d10 7s2 7p1 (predicted),,,,,,Expected to be a Solid,,,,Post-transition metal,,,0.28617333011630997,29.052711713634807,,,,,,
117,114,Fl,Flerovium,4.8186381599999995e-25,[Rn]7s2 7p2 5f14 6d10 (predicted),,,,,"6, 4,2, 1, 0",Expected to be a Solid,,,,Post-transition metal,,,0.29018320863335995,28.651248634116158,,,,,,
118,115,Mc,Moscovium,4.81870458e-25,[Rn]7s2 7p3 5f14 6d10 (predicted),,,,,"3, 1",Expected to be a Solid,,,,Post-transition metal,,,0.29018720851218,28.650853711393115,,,,,,
119,116,Lv,Livermorium,4.868669024999999e-25,[Rn]7s2 7p4 5f14 6d10 (predicted),,,,,"+4, +2, -2",Expected to be a Solid,,,,Post-transition metal,,,0.29319611735452494,28.35682591917408,,,,,,
120,117,Ts,Tennessine,4.885373655e-25,[Rn]7s2 7p5 5f14 6d10 (predicted),,,,,"+5, +3, +1, -1",Expected to be a Solid,,,,Halogen,,,0.294202086877755,28.259865007193596,,,,,,
121,118,Og,Oganesson,4.9020616799999995e-25,[Rn]7s2 7p6 5f14 6d10 (predicted),,,,,"+6, +4, +2, +1, 0, -1",Expected to be a Gas,,,,Noble gas,,,0.29520705643128,28.163660315265556,,,,,,
