,Atomic Number,Symbol,Name,Atomic Mass [kg],Electron Configuration,Electronegativity [Pauling],Atomic Radius [m],Ionization Energy [eV],Electron Affinity [eV],Oxidation States,Standard State,Melting Point [K],Boiling Point [K],Density [kg/m^3],Group Block,Vapor Ref Temperatures [K],Vapor Ref Pressures [Pa],Molar Mass [kg/mol],R_sp [J/kg/K],Heat Capacity [J/kg/K],Heat of Vaporization [J/kg],Heat of Fusion [J/kg],Clausius Constant,Clausius Errors,T(1 Torr) [K]
24,22,Ti,Titanium,7.948315349999999e-26,[Ar]4s2 3d2,1.54,1.87e-10,6.828,0.079,"+4, +3, +2",Solid,1941.0,3560.0,4500.0,Transition metal,"[1982.0, 2171.0, -2403.0, 2692.0, 3064.0, 3558.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.04786554986923499,173.69718477513604,523.0,8879037.244136281,295619.7105988903,17.35247836558388,"[-0.9997836464851783, -0.999795695121637, 595157455574518.9, -0.9998053095598227, -0.9998047546035409, -0.9998020472615894]",4102.656202365152
25,23,V,Vanadium,8.458836074999999e-26,[Ar]4s2 3d3,1.63,1.79e-10,6.746,0.525,"+5, +4, +3, +2",Solid,2183.0,3680.0,6000.0,Transition metal,"[2101.0, 2289.0, 2523.0, 2814.0, 3187.0, 3679.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.05093995672725749,163.21394430143275,489.0,8716144.035560591,422065.5332534971,25.7349948950884,"[0.3730188363270037, 0.10744426116604311, -0.036050209581314774, -0.13966818967102312, -0.20698530800085635, -0.2544323407334751]",2562.258857753212
26,24,Cr,Chromium,8.633935799999999e-26,[Ar]3d5 4s1,1.66,1.89e-10,6.767,0.666,"+6, +3, +2",Solid,2180.0,2944.0,7150.0,Transition metal,"[1656.0, 1807.0, 1991.0, 2223.0, 2530.0, 2942.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.05199442478117999,159.90389921592885,449.0,6529546.22401912,403889.4571558219,25.060059814395764,"[0.4944114311392944, 0.17315159002241387, -0.05303929640074645, -0.19478977846431866, -0.25194341736742665, -0.28294588710969915]",2024.7730336168102
27,25,Mn,Manganese,9.122461541999999e-26,[Ar]4s2 3d5,1.55,1.97e-10,7.434,,"+7, +4, +3, +2",Solid,1519.0,2334.0,7300.0,Transition metal,"[1228.0, 1347.0, 1493.0, 1691.0, 1955.0, 2333.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.05493637565207819,151.34073118792438,479.0,4022835.459689445,234999.12119724313,22.305082845248894,"[0.9329781021483017, 0.3083712090476294, -0.09881825684560042, -0.27527217011630345, -0.39458278848016615, -0.4519900795060813]",1526.5812072748386
28,26,Fe,Iron,9.272231999999999e-26,[Ar]4s2 3d6,1.83,1.94e-10,7.902,0.163,"+3, +2",Solid,1811.0,3134.0,7874.0,Transition metal,"[1728.0, 1890.0, 2091.0, 2346.0, 2679.0, 3132.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.05583830832719999,148.89618810228217,449.0,6089009.6814480135,247321.2461788149,24.11647099219253,"[0.5695224852424889, 0.1932430650011574, -0.04496391548105394, -0.19972272092879173, -0.30137636951481683, -0.36453112441237456]",2127.286677597532
29,27,Co,Cobalt,9.7858561995e-26,[Ar]4s2 3d7,1.88,1.92e-10,7.881,0.661,"+3, +2",Solid,1768.0,3200.0,8860.0,Transition metal,"[1790.0, 1960.0, 2165.0, 2423.0, 2755.0, 3198.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.05893140461900895,141.08116570020113,421.0,6397268.187264531,272520.23100124235,25.522132497448506,"[0.20919765979525584, 0.08822773131718598, -0.027050337666075674, -0.09503487739561312, -0.13690082859265218, -0.15620061989959966]",2198.0605568888573
30,28,Ni,Nickel,9.745972649999999e-26,[Ar]4s2 3d8,1.91,1.63e-10,7.64,1.156,"+3, +2",Solid,1728.0,3186.0,8912.0,Transition metal,"[1783.0, 1950.0, 2154.0, 2410.0, 2741.0, 3184.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.05869122189556499,141.65851368359833,444.0,6457524.44333825,297829.8872547562,25.735652457406808,"[0.18424792352613406, 0.0576695114469985, -0.03201580132748849, -0.0834167464049399, -0.10015605963207874, -0.08991453536060956]",2187.084392876337
31,29,Cu,Copper,1.0552477499999998e-25,[Ar]4s1 3d10,1.9,1.4e-10,7.726,1.228,"+2, +1",Solid,1357.77,2835.0,8933.0,Transition metal,"[1509.0, 1661.0, 1850.0, 2089.0, 2404.0, 2836.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.06354807475274998,130.83183546233576,385.0,4727129.833103252,208660.92405775338,24.115728976530146,"[0.18747691950751855, 0.062239157452409044, -0.01969988672197076, -0.08426247212883686, -0.1168744477325716, -0.12841695784241403]",1879.5928973112427
32,30,Zn,Zinc,1.085967e-25,[Ar]4s2 3d10,1.65,1.3899999999999999e-10,9.394,,+2,Solid,692.68,1180.0,7134.0,Transition metal,"[610.0, 670.0, 750.0, 852.0, 990.0, -1185.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.065398018707,127.13093491791186,388.0,1758463.0585710811,111929.99642382881,22.998906632696563,"[0.3821661798846483, 0.05304576330029809, -0.04763224081522954, -0.13366129821444128, -0.1672778973894674, 11418208238.81051]",763.9345450294455
33,31,Ga,Gallium,1.157750415e-25,[Ar]4s2 3d10 4p1,1.81,1.87e-10,5.999,0.3,+3,Solid,302.91,2477.0,5910.0,Post-transition metal,"[1310.0, 1448.0, 1620.0, 1838.0, 2125.0, 2518.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.06972088774171499,119.2484996863508,371.0,3671783.425196286,80176.83338612202,23.6088257879232,"[0.10985264530268712, 0.04260386824175666, -0.003144430832078049, -0.050092725514044645, -0.08735496908601459, -0.12406647677909821]",1645.1660494806388
